t		E		Ek		V		T		P
0		-74.313874		29.450720		-103.764594		100.000000		0.000000
0.010000		-74.313875		29.376203		-103.690078		87.284999		0.000000
0.020000		-74.313877		29.150837		-103.464714		86.615373		0.000000
0.030000		-74.313880		28.773044		-103.086924		85.492843		0.000000
0.040000		-74.313883		28.240955		-102.554838		83.911856		0.000000
0.050000		-74.313885		27.553777		-101.867662		81.870058		0.000000
0.060000		-74.313884		26.713650		-101.027534		79.373802		0.000000
0.070000		-74.313878		25.727890		-100.041768		76.444829		0.000000
0.080000		-74.313866		24.611393		-98.925259		73.127404		0.000000
0.090000		-74.313847		23.388764		-97.702611		69.494627		0.000000
0.100000		-74.313820		22.095534		-96.409354		65.652074		0.000000
0.110000		-74.313788		20.777759		-95.091547		61.736594		0.000000
0.120000		-74.313753		19.489391		-93.803144		57.908487		0.000000
0.130000		-74.313720		18.287269		-92.600989		54.336644		0.000000
0.140000		-74.313694		17.224339		-91.538033		51.178378		0.000000
0.150000		-74.313679		16.342441		-90.656120		48.558010		0.000000
0.160000		-74.313676		15.666450		-89.980126		46.549450		0.000000
0.170000		-74.313685		15.201295		-89.514980		45.167342		0.000000
0.180000		-74.313705		14.932521		-89.246226		44.368740		0.000000
0.190000		-74.313730		14.829987		-89.143717		44.064082		0.000000
0.200000		-74.313758		14.853485		-89.167243		44.133901		0.000000
0.210000		-74.313784		14.958895		-89.272679		44.447104		0.000000
0.220000		-74.313805		15.103760		-89.417565		44.877538		0.000000
0.230000		-74.313821		15.251692		-89.565514		45.317088		0.000000
0.240000		-74.313830		15.375422		-89.689252		45.684722		0.000000
0.250000		-74.313831		15.458485		-89.772316		45.931527		0.000000
0.260000		-74.313826		15.495578		-89.809404		46.041741		0.000000
0.270000		-74.313816		15.491521		-89.805337		46.029687		0.000000
0.280000		-74.313803		15.458842		-89.772645		45.932588		0.000000
0.290000		-74.313790		15.414208		-89.727998		45.799968		0.000000
0.300000		-74.313780		15.374292		-89.688072		45.681366		0.000000
0.310000		-74.313774		15.352000		-89.665774		45.615130		0.000000
0.320000		-74.313772		15.354000		-89.667773		45.621073		0.000000
0.330000		-74.313774		15.380133		-89.693908		45.698721		0.000000
0.340000		-74.313779		15.424613		-89.738392		45.830884		0.000000
0.350000		-74.313783		15.478347		-89.792130		45.990542		0.000000
0.360000		-74.313787		15.531453		-89.845240		46.148334		0.000000
0.370000		-74.313789		15.575239		-89.889028		46.278435		0.000000
0.380000		-74.313790		15.603293		-89.917083		46.361792		0.000000
0.390000		-74.313789		15.611723		-89.925512		46.386841		0.000000
0.400000		-74.313787		15.598821		-89.912608		46.348504		0.000000
0.410000		-74.313785		15.564457		-89.878242		46.246399		0.000000
0.420000		-74.313782		15.509463		-89.823245		46.082996		0.000000
0.430000		-74.313780		15.435139		-89.748919		45.862159		0.000000
0.440000		-74.313778		15.342942		-89.656720		45.588217		0.000000
0.450000		-74.313776		15.234335		-89.548111		45.265513		0.000000
0.460000		-74.313774		15.110747		-89.424521		44.898298		0.000000
